Id	Description	Localization	Epitopes	N-Glyc
Q9KPC4	Q9KPC4	Cytoplasmic	1	0
Q9KNC5	Q9KNC5	CytoplasmicMembrane	1	1
Q9KPG6	Q9KPG6	CytoplasmicMembrane	0	0
Q9KPG5	Q9KPG5	Cytoplasmic	0	0
Q9KPG4	Q9KPG4	CytoplasmicMembrane	0	0
P45780	P45780	CytoplasmicMembrane	0	0
Q9KPG1	Q9KPG1	CytoplasmicMembrane	0	0
Q9KLK7	Q9KLK7	CytoplasmicMembrane	0	0
Q9KU86	Q9KU86	CytoplasmicMembrane	1	0
P41851	P41851	Unknown	0	0
Q9KR66	Q9KR66	CytoplasmicMembrane	0	0
Q9KKQ7	Q9KKQ7	CytoplasmicMembrane	1	0
Q9KR65	Q9KR65	CytoplasmicMembrane	0	0
Q9KPS2	Q9KPS2	CytoplasmicMembrane	0	0
Q9KQ40	Q9KQ40	Unknown	0	0
Q9KLW7	Q9KLW7	Cytoplasmic	0	0
O85187	O85187	CytoplasmicMembrane	0	0
P45773	P45773	CytoplasmicMembrane	0	0
P45776	P45776	CytoplasmicMembrane	0	0
Q9KSL8	Q9KSL8	CytoplasmicMembrane	0	0
Q60153	Q60153	Extracellular	1	0
Q9KNN1	Q9KNN1	CytoplasmicMembrane	2	0
Q9KPZ7	Q9KPZ7	CytoplasmicMembrane	0	0
Q9KP51	Q9KP51	Unknown	0	0
P0C6E0	P0C6E0	Unknown	0	0
Q9KQX0	Q9KQX0	Cytoplasmic	0	0
Q9KM72	Q9KM72	CytoplasmicMembrane	0	0
Q9KUC0	Q9KUC0	CytoplasmicMembrane	0	0
Q9KNE8	Q9KNE8	Cytoplasmic	0	0
Q9KNE5	Q9KNE5	CytoplasmicMembrane	5	1
Q9KNM9	Q9KNM9	CytoplasmicMembrane	0	0
Q9KPM2	Q9KPM2	Cytoplasmic	0	0
Q9KQW9	Q9KQW9	CytoplasmicMembrane	0	0
P15795	P15795	Cytoplasmic	0	0
Q9KL06	Q9KL06	CytoplasmicMembrane	0	0
Q9KRU4	Q9KRU4	CytoplasmicMembrane	0	0
Q9KM24	Q9KM24	Unknown	0	0
Q9KNU5	Q9KNU5	CytoplasmicMembrane	1	0
Q9KM66	Q9KM66	CytoplasmicMembrane	0	0
Q9KM62	Q9KM62	CytoplasmicMembrane	0	0
Q84I33	Q84I33	CytoplasmicMembrane	5	0
Q9KPY1	Q9KPY1	CytoplasmicMembrane	0	0
P29485	P29485	Cytoplasmic	0	0
Q9KS19	Q9KS19	CytoplasmicMembrane	0	0
Q9KKJ5	Q9KKJ5	CytoplasmicMembrane	1	0
Q9KNH0	Q9KNH0	CytoplasmicMembrane	0	0
Q9X4Q8	Q9X4Q8	Cytoplasmic	0	0
Q9KU93	Q9KU93	Unknown	0	0
P45782	P45782	CytoplasmicMembrane	1	0
Q9KQE7	Q9KQE7	CytoplasmicMembrane	1	0
