ID	Evidences length	Evidences list	Complete evidences
Q9KM24	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KU93	1	PHOBIUS_TM	PHOBIUS_TM
O85187	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P41851	1	PHOBIUS_TM	PHOBIUS_TM
P45773	1	PHOBIUS_TM	PHOBIUS_TM
Q60153	1	PHOBIUS_TM	PHOBIUS_TM
Q9KNN1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNU5	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPC4	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPZ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQW9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KU86	1	PHOBIUS_TM	PHOBIUS_TM
Q9KUC0	1	PHOBIUS_TM	PHOBIUS_TM
Q9X4Q8	1	PHOBIUS_TM	PHOBIUS_TM
P0C6E0	1	PHOBIUS_TM	PHOBIUS_TM
P15795	1	PHOBIUS_TM	PHOBIUS_TM
P29485	1	PHOBIUS_TM	PHOBIUS_TM
P45776	1	PHOBIUS_TM	PHOBIUS_TM
P45780	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P45782	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q84I33	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKJ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKQ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KL06	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLK7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLW7	1	PHOBIUS_TM	PHOBIUS_TM
Q9KM62	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KM66	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KM72	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNC5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNE5	1	PHOBIUS_TM	PHOBIUS_TM
Q9KNE8	1	PHOBIUS_TM	PHOBIUS_TM
Q9KNH0	1	PHOBIUS_TM	PHOBIUS_TM
Q9KNM9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KP51	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPG1	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPG4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPG5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPG6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPM2	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPS2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPY1	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQ40	1	SL	SL
Q9KQE7	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQX0	1	PHOBIUS_TM	PHOBIUS_TM
Q9KR65	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KR66	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRU4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS19	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSL8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSQ6	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
