SEQENCE ID                     TM SP PREDICTION
P01555                          0  Y n4-12c18/19o
P01556                          0  Y n6-14c19/20o
P09545                          0  Y n7-18c25/26o
P23247                          0  0 o
P37093                          0  0 o
P45779                          0  Y n8-19c24/25o
Q9KL03                          0  0 o
Q9KL18                          0  0 o
Q9KL41                          0  0 o
Q9KLR1                          0  0 o
Q9KM24                          1  Y n18-29c37/38o263-283i
Q9KN86                          0  Y n19-30c35/36o
Q9KNI1                          0  0 o
Q9KQG2                          0  0 o
Q9KRA3                          0  0 o
Q9KS12                          0  0 o
Q9KS45                          0  0 o
Q9KSE5                          0  Y n5-16c23/24o
Q9KU93                          1  0 o12-30i
Q9KUL5                          0  Y n6-16c21/22o
Q9KUS8                          0  0 o
Q9KVG5                          0  0 o
Q9KVG6                          0  0 o
Q9KVG7                          0  0 o
Q9KVG8                          0  0 o
O85187                         10  Y n14-25c35/36o45-67i87-107o113-136i148-167o173-191i198-231o251-269i281-301o321-344i356-373o
P0C6E9                          0  Y n9-16c24/25o
P15493                          0  Y n4-14c19/20o
P41851                          1  0 i21-40o
P45383                          0  0 o
P45773                          1  0 i12-34o
Q06963                          0  0 o
Q60153                          1  0 i28-49o
Q9KKY0                          0  0 o
Q9KLR4                          0  Y n13-25c29/30o
Q9KM69                          0  0 o
Q9KMU6                          0  Y n7-18c23/24o
Q9KMV8                          0  0 o
Q9KMY3                          0  0 o
Q9KN42                          0  0 o
Q9KNH7                          0  0 o
Q9KNM2                          0  0 o
Q9KNN1                          8  Y n4-15c21/22o196-216i237-262o274-296i317-346o358-382i394-412o418-435i447-469o
Q9KNP7                          0  0 o
Q9KNU5                          1  0 i7-29o
Q9KPC4                          1  0 o6-29i
Q9KPC6                          0  0 o
Q9KPH8                          0  0 o
Q9KPH9                          0  0 o
Q9KPK3                          0  0 o
Q9KPP6                          0  0 o
Q9KPP7                          0  0 o
Q9KPT5                          0  0 o
Q9KPZ7                          8  0 i263-285o291-309i330-348o360-377i514-533o539-562i854-873o879-897i
Q9KQR7                          0  0 o
Q9KQW9                          6  0 i21-46o66-92i142-162o168-186i250-270o282-302i
Q9KR62                          0  0 o
Q9KRB2                          0  0 o
Q9KRL4                          0  0 o
Q9KT58                          0  0 o
Q9KTJ4                          0  0 o
Q9KTK0                          0  0 o
Q9KTK8                          0  0 o
Q9KTX3                          0  0 o
Q9KTX4                          0  0 o
Q9KU37                          0  0 o
Q9KU86                          1  Y n8-19c24/25o102-123i
Q9KUC0                          1  0 i32-54o
Q9KUX9                          0  0 o
Q9KUY6                          0  0 o
Q9KV27                          0  0 i
Q9KVC5                          0  0 o
Q9KVD1                          0  0 o
Q9KVE0                          0  0 o
Q9KVP9                          0  0 o
Q9X4Q8                          1  0 o6-25i
Q9X6N4                          0  0 o
O32445                          0  0 o
O34241                          0  0 o
O34242                          0  0 o
O51804                          0  0 o
O52042                          0  Y n7-22c27/28o
O66108                          0  0 o
P0C6C2                          0  0 o
P0C6C3                          0  0 o
P0C6C6                          0  0 o
P0C6C7                          0  0 o
P0C6D2                          0  0 o
P0C6D3                          0  0 o
P0C6D6                          0  0 o
P0C6D7                          0  0 o
P0C6E0                          1  0 o12-33i
P0C6E1                          0  0 o
P0C6P9                          0  0 o
P0C6Q1                          0  0 o
P0C6Q2                          0  0 o
P0C6Q3                          0  0 o
P0C6Q8                          0  0 i
P0C6R1                          0  0 o
P15795                          1  0 o179-198i
P22359                          0  0 o
P24153                          0  Y n10-20c24/25o
P29485                          1  0 i143-164o
P32557                          0  Y n4-15c19/20o
P45774                          0  Y n7-18c23/24o
P45775                          0  Y n7-18c22/23o
P45776                          1  0 i12-36o
P45777                          0  Y n31-43c52/53o
P45780                          3  0 i170-193o224-243i369-398o
P45781                          0  Y n8-19c28/29o
P45782                          1  0 i254-275o
P50529                          0  0 o
P52021                          0  0 o
P57066                          0  0 o
Q06951                          0  0 o
Q08790                          0  Y n3-13c18/19o
Q56632                          0  Y n11-25c37/38o
Q56648                          0  0 o
Q56652                          0  Y n4-15c22/23o
Q84I33                          5  0 i33-52o83-105i117-139o145-166i173-192o
Q9F854                          0  0 o
Q9F855                          0  0 o
Q9K2Y1                          0  Y n4-14c22/23o
Q9KKJ5                          1  0 o640-661i
Q9KKM4                          0  0 o
Q9KKP2                          0  0 o
Q9KKQ7                          9  0 i21-43o49-67i79-104o134-155i162-182o214-235i247-265o271-292i313-335o
Q9KKS5                          0  0 o
Q9KKW6                          0  0 o
Q9KKZ4                          0  0 o
Q9KL04                          0  0 o
Q9KL06                          8  0 i24-44o50-67i79-101o290-313i325-350o381-402i436-457o494-516i
Q9KL24                          0  0 o
Q9KL34                          0  0 o
Q9KL40                          0  0 o
Q9KL52                          0  0 o
Q9KL61                          0  0 o
Q9KL62                          0  0 i
Q9KL83                          0  Y n7-18c30/31o
Q9KLC2                          0  0 o
Q9KLC6                          0  0 o
Q9KLE2                          0  0 o
Q9KLE5                          0  0 o
Q9KLG0                          0  0 o
Q9KLJ3                          0  0 o
Q9KLJ9                          0  0 o
Q9KLK7                          2  0 i14-35o281-303i
Q9KLL9                          0  0 o
Q9KLP3                          0  Y n12-23c30/31o
Q9KLQ5                          0  0 o
Q9KLW7                          1  0 o416-437i
Q9KLW8                          0  0 o
Q9KLX3                          0  0 o
Q9KLX5                          0  0 o
Q9KLX6                          0  Y n4-22c27/28o
Q9KLY5                          0  0 o
Q9KM17                          0  Y n4-12c24/25o
Q9KM23                          0  0 o
Q9KM62                         11  0 i31-51o71-95i122-143o175-199i211-230o250-269i289-307o327-347i354-373o385-410i417-437o
Q9KM66                          6  0 i21-42o48-66i78-97o103-119i126-144o156-172i
Q9KM70                          0  0 o
Q9KM71                          0  0 o
Q9KM72                          9  Y n5-16c21/22o255-274i286-309o321-346i367-387o407-425i445-468o480-500i507-528o548-569i
Q9KM76                          0  0 o
Q9KMN7                          0  0 o
Q9KMP4                          0  0 o
Q9KMQ0                          0  Y n6-17c24/25o
Q9KMQ9                          0  Y n5-15c20/21o
Q9KMT5                          0  0 o
Q9KMW1                          0  0 i
Q9KMW4                          0  0 o
Q9KMW9                          0  0 o
Q9KMX5                          0  0 o
Q9KMY6                          0  0 o
Q9KN34                          0  0 o
Q9KN37                          0  0 o
Q9KN38                          0  0 o
Q9KN41                          0  Y n4-16c24/25o
Q9KN61                          0  0 o
Q9KN92                          0  0 o
Q9KNA6                          0  Y n42-53c58/59o
Q9KNA8                          0  0 o
Q9KNB2                          0  0 o
Q9KNC3                          0  0 o
Q9KNC5                          8  0 i72-95o101-119i131-149o155-171i178-196o202-222i229-246o285-302i
Q9KND8                          0  Y n5-16c21/22o
Q9KNE5                          3  0 o808-826i846-866o886-908i
Q9KNE8                          1  0 i141-160o
Q9KNF3                          0  0 o
Q9KNH0                          2  0 o6-31i52-76o
Q9KNH3                          0  0 o
Q9KNH5                          0  0 o
Q9KNH6                          0  0 o
Q9KNI0                          0  0 o
Q9KNI4                          0  0 o
Q9KNI7                          0  0 o
Q9KNJ2                          0  0 o
Q9KNJ4                          0  0 o
Q9KNJ7                          0  0 o
Q9KNK0                          0  0 o
Q9KNL0                          0  Y n4-15c22/23o
Q9KNL4                          0  0 o
Q9KNM3                          0  0 o
Q9KNM4                          0  0 o
Q9KNM9                         11  0 o6-23i30-46o58-76i88-113o119-141i187-214o226-257i269-291o303-323i335-356o362-379i
Q9KNN6                          0  0 o
Q9KNP2                          0  0 o
Q9KNQ3                          0  0 o
Q9KNQ6                          0  0 o
Q9KNR1                          0  0 o
Q9KNR7                          0  0 o
Q9KNS5                          0  0 o
Q9KNS6                          0  0 o
Q9KNT0                          0  0 o
Q9KNT4                          0  0 o
Q9KNT5                          0  0 o
Q9KNT6                          0  0 o
Q9KNT7                          0  0 o
Q9KNT8                          0  0 o
Q9KNV1                          0  0 o
Q9KNV2                          0  0 o
Q9KNV5                          0  0 o
Q9KNV6                          0  0 o
Q9KNV7                          0  0 o
Q9KNW0                          0  0 o
Q9KNW2                          0  0 o
Q9KNW4                          0  0 o
Q9KNX3                          0  0 o
Q9KNX6                          0  0 o
Q9KNX8                          0  0 o
Q9KNY5                          0  0 o
Q9KP01                          0  0 o
Q9KP08                          0  0 o
Q9KP19                          0  0 o
Q9KP20                          0  0 o
Q9KP21                          0  0 o
Q9KP34                          0  0 o
Q9KP35                          0  0 o
Q9KP37                          0  0 o
Q9KP42                          0  0 o
Q9KP51                          1  0 o6-23i
Q9KP62                          0  0 o
Q9KP66                          0  0 o
Q9KP71                          0  0 o
Q9KP73                          0  0 o
Q9KP81                          0  0 o
Q9KP82                          0  0 o
Q9KP83                          0  0 o
Q9KP93                          0  0 o
Q9KPA4                          0  0 o
Q9KPB0                          0  0 o
Q9KPB2                          0  0 o
Q9KPB3                          0  0 o
Q9KPB5                          0  0 o
Q9KPC1                          0  0 o
Q9KPC5                          0  0 o
Q9KPD4                          0  0 o
Q9KPD5                          0  0 o
Q9KPD9                          0  0 o
Q9KPE0                          0  0 o
Q9KPE3                          0  Y n2-9c14/15o
Q9KPE9                          0  0 o
Q9KPF6                          0  0 o
Q9KPF9                          0  0 o
Q9KPG1                          1  0 i30-50o
Q9KPG3                          0  0 o
Q9KPG4                         10  0 o22-41i73-91o97-114i134-152o172-193i200-219o239-256i263-284o290-311i338-357o
Q9KPG5                          1  0 o6-26i
Q9KPG6                          9  0 o27-49i61-83o89-108i153-172o178-195i202-219o287-308i320-344o356-377i
Q9KPG7                          0  Y n10-20c26/27o
Q9KPG8                          0  0 o
Q9KPH1                          0  0 o
Q9KPH4                          0  0 o
Q9KPH6                          0  0 o
Q9KPH7                          0  0 o
Q9KPI6                          0  Y n6-15c20/21o
Q9KPI8                          0  0 o
Q9KPK1                          0  0 o
Q9KPK7                          0  0 o
Q9KPL7                          0  0 o
Q9KPL8                          0  0 o
Q9KPL9                          0  Y n4-15c20/21o
Q9KPM0                          0  0 o
Q9KPM2                          1  0 o299-318i
Q9KPN7                          0  0 o
Q9KPQ0                          0  0 o
Q9KPQ9                          0  0 o
Q9KPR9                          0  0 o
Q9KPS2                          9  0 o23-41i53-73o128-147i159-177o268-290i297-315o327-345i357-375o381-401i
Q9KPS5                          0  0 o
Q9KPT8                          0  0 o
Q9KPT9                          0  0 o
Q9KPU1                          0  0 o
Q9KPU3                          0  0 o
Q9KPU4                          0  0 o
Q9KPU6                          0  0 o
Q9KPV0                          0  0 o
Q9KPV1                          0  0 o
Q9KPV4                          0  0 o
Q9KPV6                          0  0 o
Q9KPV8                          0  Y n4-15c22/23o
Q9KPW8                          0  0 o
Q9KPX8                          0  0 o
Q9KPX9                          0  0 o
Q9KPY1                          3  Y n3-14c18/19o28-61i280-296o586-605i
Q9KPY2                          0  0 o
Q9KPY5                          0  0 o
Q9KPY6                          0  0 o
Q9KPY7                          0  0 o
Q9KQ13                          0  Y n4-14c19/20o
Q9KQ15                          0  0 o
Q9KQ21                          0  0 o
Q9KQ22                          0  0 o
Q9KQ23                          0  0 o
Q9KQ24                          0  0 o
Q9KQ26                          0  0 o
Q9KQ29                          0  0 o
Q9KQ30                          0  Y n10-22c27/28o
Q9KQ40                          0  Y n8-19c23/24o
Q9KQ47                          0  0 o
Q9KQ52                          0  0 o
Q9KQ63                          0  0 o
Q9KQ71                          0  0 o
Q9KQ85                          0  0 o
Q9KQ91                          0  0 o
Q9KQ92                          0  0 o
Q9KQB1                          0  0 o
Q9KQB5                          0  0 o
Q9KQB6                          0  0 o
Q9KQB8                          0  0 o
Q9KQD4                          0  0 o
Q9KQD5                          0  0 i
Q9KQD8                          0  0 o
Q9KQE3                          0  0 o
Q9KQE7                          1  0 i9-30o
Q9KQE9                          0  Y n5-16c21/22o
Q9KQF5                          0  0 o
Q9KQG8                          0  0 o
Q9KQH0                          0  0 o
Q9KQH4                          0  0 o
Q9KQH5                          0  0 o
Q9KQH7                          0  0 o
Q9KQH8                          0  0 i
Q9KQH9                          0  0 o
Q9KQI0                          0  0 o
Q9KQI2                          0  0 o
Q9KQM0                          0  0 o
Q9KQM2                          0  0 o
Q9KQM3                          0  0 o
Q9KQM5                          0  0 o
Q9KQM6                          0  0 o
Q9KQQ6                          0  0 o
Q9KQR9                          0  Y n5-16c24/25o
Q9KQS5                          0  0 o
Q9KQS6                          0  0 o
Q9KQS8                          0  0 o
Q9KQT2                          0  0 o
Q9KQT7                          0  0 o
Q9KQU8                          0  0 o
Q9KQW2                          0  Y n3-10c14/15o
Q9KQX0                          1  0 o12-31i
Q9KQX2                          0  0 o
Q9KQY1                          0  Y n3-10c15/16o
Q9KQY7                          0  0 o
Q9KQZ2                          0  0 o
Q9KQZ7                          0  0 o
Q9KQZ9                          0  0 o
Q9KR00                          0  0 o
Q9KR01                          0  0 o
Q9KR02                          0  0 o
Q9KR20                          0  0 o
Q9KR61                          0  0 o
Q9KR64                          0  Y n7-17c22/23o
Q9KR65                          4  0 i12-34o49-66i87-109o129-146i
Q9KR66                         12  0 o6-32i52-72o92-113i133-159o165-190i211-233o239-257i269-290o302-324i331-350o356-378i390-411o
Q9KR69                          0  Y n5-16c24/25o
Q9KRA7                          0  0 o
Q9KRB0                          0  0 o
Q9KRC1                          0  0 o
Q9KRC8                          0  0 o
Q9KRD8                          0  0 o
Q9KRF0                          0  Y n11-21c33/34o
Q9KRJ0                          0  Y n12-21c29/30o
Q9KRK5                          0  0 o
Q9KRL3                          0  0 o
Q9KRM5                          0  0 o
Q9KRP1                          0  0 o
Q9KRR3                          0  0 o
Q9KRS6                          0  0 o
Q9KRT4                          0  0 o
Q9KRU4                         11  Y n14-23c41/42o51-72i92-116o128-146i158-176o188-212i237-263o275-298i310-335o347-366i386-408o420-437i
Q9KRV2                          0  0 o
Q9KRV8                          0  0 o
Q9KRX4                          0  0 o
Q9KRY1                          0  0 o
Q9KRZ2                          0  0 o
Q9KRZ5                          0  0 o
Q9KRZ7                          0  0 o
Q9KS00                          0  0 i
Q9KS19                         12  0 i21-45o65-85i97-120o132-154i166-188o208-229i241-258o278-298i310-330o350-370i382-405o435-457i
Q9KS29                          0  0 o
Q9KS33                          0  0 o
Q9KS43                          0  0 o
Q9KS59                          0  0 o
Q9KS67                          0  0 o
Q9KS71                          0  0 o
Q9KS93                          0  0 o
Q9KS94                          0  0 o
Q9KSA5                          0  0 o
Q9KSB1                          0  0 o
Q9KSD1                          0  0 o
Q9KSJ3                          0  0 o
Q9KSJ8                          0  0 o
Q9KSJ9                          0  0 o
Q9KSL1                          0  0 o
Q9KSL4                          0  0 o
Q9KSL7                          0  0 o
Q9KSL8                          7  0 o12-30i42-60o66-84i114-133o145-166i187-216o236-255i
Q9KSM5                          0  0 o
Q9KSM8                          0  0 o
