SeqID	Localization	Score
Q9KM24 	Unknown	2.00
Q9KU93 	Unknown	2.00
O85187 	CytoplasmicMembrane	10.00
P41851 	Unknown	2.00
P45773 	CytoplasmicMembrane	9.82
Q60153 	Extracellular	10.00
Q9KNN1 	CytoplasmicMembrane	10.00
Q9KNU5 	CytoplasmicMembrane	9.82
Q9KPC4 	Cytoplasmic	9.97
Q9KPZ7 	CytoplasmicMembrane	10.00
Q9KQW9 	CytoplasmicMembrane	10.00
Q9KU86 	CytoplasmicMembrane	10.00
Q9KUC0 	CytoplasmicMembrane	9.99
Q9X4Q8 	Cytoplasmic	9.97
P0C6E0 	Unknown	2.50
P15795 	Cytoplasmic	8.96
P29485 	Cytoplasmic	8.96
P45776 	CytoplasmicMembrane	9.82
P45780 	CytoplasmicMembrane	10.00
P45782 	CytoplasmicMembrane	7.88
Q84I33 	CytoplasmicMembrane	10.00
Q9KKJ5 	CytoplasmicMembrane	9.82
Q9KKQ7 	CytoplasmicMembrane	10.00
Q9KL06 	CytoplasmicMembrane	10.00
Q9KLK7 	CytoplasmicMembrane	7.88
Q9KLW7 	Cytoplasmic	9.26
Q9KM62 	CytoplasmicMembrane	10.00
Q9KM66 	CytoplasmicMembrane	10.00
Q9KM72 	CytoplasmicMembrane	10.00
Q9KNC5 	CytoplasmicMembrane	10.00
Q9KNE5 	CytoplasmicMembrane	9.46
Q9KNE8 	Cytoplasmic	9.26
Q9KNH0 	CytoplasmicMembrane	10.00
Q9KNM9 	CytoplasmicMembrane	10.00
Q9KP51 	Unknown	2.00
Q9KPG1 	CytoplasmicMembrane	9.82
Q9KPG4 	CytoplasmicMembrane	10.00
Q9KPG5 	Cytoplasmic	9.26
Q9KPG6 	CytoplasmicMembrane	10.00
Q9KPM2 	Cytoplasmic	9.97
Q9KPS2 	CytoplasmicMembrane	10.00
Q9KPY1 	CytoplasmicMembrane	9.82
Q9KQ40 	Unknown	2.50
Q9KQE7 	CytoplasmicMembrane	9.82
Q9KQX0 	Cytoplasmic	8.96
Q9KR65 	CytoplasmicMembrane	10.00
Q9KR66 	CytoplasmicMembrane	10.00
Q9KRU4 	CytoplasmicMembrane	10.00
Q9KS19 	CytoplasmicMembrane	10.00
Q9KSL8 	CytoplasmicMembrane	10.00
