Id	Description
Q9KPC4	Q9KPC4
Q9KNC5	Q9KNC5
Q9KPG6	Q9KPG6
Q9KPG5	Q9KPG5
Q9KPG4	Q9KPG4
P45780	P45780
Q9KPG1	Q9KPG1
Q9KLK7	Q9KLK7
Q9KU86	Q9KU86
P41851	P41851
Q9KR66	Q9KR66
Q9KKQ7	Q9KKQ7
Q9KR65	Q9KR65
Q9KPS2	Q9KPS2
Q9KQ40	Q9KQ40
Q9KLW7	Q9KLW7
O85187	O85187
P45773	P45773
P45776	P45776
Q9KSL8	Q9KSL8
Q60153	Q60153
Q9KNN1	Q9KNN1
Q9KPZ7	Q9KPZ7
Q9KP51	Q9KP51
P0C6E0	P0C6E0
Q9KQX0	Q9KQX0
Q9KM72	Q9KM72
Q9KUC0	Q9KUC0
Q9KNE8	Q9KNE8
Q9KNE5	Q9KNE5
Q9KNM9	Q9KNM9
Q9KPM2	Q9KPM2
Q9KQW9	Q9KQW9
P15795	P15795
Q9KL06	Q9KL06
Q9KRU4	Q9KRU4
Q9KM24	Q9KM24
Q9KNU5	Q9KNU5
Q9KM66	Q9KM66
Q9KM62	Q9KM62
Q84I33	Q84I33
Q9KPY1	Q9KPY1
P29485	P29485
Q9KS19	Q9KS19
Q9KKJ5	Q9KKJ5
Q9KNH0	Q9KNH0
Q9X4Q8	Q9X4Q8
Q9KU93	Q9KU93
P45782	P45782
Q9KQE7	Q9KQE7
