# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
P01555	SP(Sec/SPI)	0.993814	0.006186	CS pos: 18-19. SYA-ND. Pr: 0.9454
P01556	SP(Sec/SPI)	0.997755	0.002245	CS pos: 21-22. AHG-TP. Pr: 0.5703
P09545	SP(Sec/SPI)	0.968161	0.031839	CS pos: 25-26. LLA-NI. Pr: 0.6524
P23247	OTHER	0.007981	0.992019	
P37093	OTHER	0.000628	0.999372	
P45779	SP(Sec/SPI)	0.970503	0.029497	CS pos: 24-25. AMA-NE. Pr: 0.9353
Q9KL03	OTHER	0.001406	0.998594	
Q9KL18	OTHER	0.158738	0.841262	
Q9KL41	OTHER	0.000390	0.999610	
Q9KLR1	OTHER	0.003663	0.996337	
Q9KM24	SP(Sec/SPI)	0.935984	0.064016	CS pos: 37-38. VHA-DS. Pr: 0.9164
Q9KN86	OTHER	0.145014	0.854986	
Q9KNI1	OTHER	0.001477	0.998523	
Q9KQG2	OTHER	0.020827	0.979173	
Q9KRA3	OTHER	0.019114	0.980886	
Q9KS12	OTHER	0.006257	0.993743	
Q9KS45	OTHER	0.000739	0.999261	
Q9KSE5	SP(Sec/SPI)	0.955734	0.044266	CS pos: 23-24. LSA-AP. Pr: 0.4564
Q9KU93	OTHER	0.039433	0.960567	
Q9KUL5	SP(Sec/SPI)	0.935706	0.064294	CS pos: 25-26. PTA-DE. Pr: 0.3275
Q9KUS8	OTHER	0.002379	0.997621	
Q9KVG5	OTHER	0.000566	0.999434	
Q9KVG6	OTHER	0.001775	0.998225	
Q9KVG7	OTHER	0.000454	0.999546	
Q9KVG8	OTHER	0.001772	0.998228	
O85187	OTHER	0.012156	0.987844	
P0C6E9	SP(Sec/SPI)	0.987475	0.012525	CS pos: 24-25. SNA-AL. Pr: 0.8545
P15493	SP(Sec/SPI)	0.993533	0.006467	CS pos: 19-20. IWA-GT. Pr: 0.5928
P41851	OTHER	0.007111	0.992889	
P45383	OTHER	0.001567	0.998433	
P45773	OTHER	0.111601	0.888399	
Q06963	OTHER	0.002665	0.997335	
Q60153	OTHER	0.001036	0.998964	
Q9KKY0	OTHER	0.002104	0.997896	
Q9KLR4	OTHER	0.511751	0.488249	
Q9KM69	OTHER	0.000872	0.999128	
Q9KMU6	SP(Sec/SPI)	0.956304	0.043696	CS pos: 23-24. LYA-QT. Pr: 0.8536
Q9KMV8	OTHER	0.001638	0.998362	
Q9KMY3	OTHER	0.000561	0.999439	
Q9KN42	OTHER	0.000877	0.999123	
Q9KNH7	OTHER	0.025579	0.974421	
Q9KNM2	OTHER	0.001067	0.998933	
Q9KNN1	SP(Sec/SPI)	0.999268	0.000732	CS pos: 21-22. AWA-IF. Pr: 0.9769
Q9KNP7	OTHER	0.000751	0.999249	
Q9KNU5	OTHER	0.026937	0.973063	
Q9KPC4	OTHER	0.015104	0.984896	
Q9KPC6	OTHER	0.002971	0.997029	
Q9KPH8	OTHER	0.002078	0.997922	
Q9KPH9	OTHER	0.350147	0.649853	
Q9KPK3	OTHER	0.001309	0.998691	
Q9KPP6	OTHER	0.000825	0.999175	
Q9KPP7	OTHER	0.002457	0.997543	
Q9KPT5	OTHER	0.000649	0.999351	
Q9KPZ7	OTHER	0.003596	0.996404	
Q9KQR7	OTHER	0.003620	0.996380	
Q9KQW9	OTHER	0.008268	0.991732	
Q9KR62	OTHER	0.001878	0.998122	
Q9KRB2	OTHER	0.000259	0.999741	
Q9KRL4	OTHER	0.000341	0.999659	
Q9KT58	OTHER	0.000387	0.999613	
Q9KTJ4	OTHER	0.000532	0.999468	
Q9KTK0	OTHER	0.000843	0.999157	
Q9KTK8	OTHER	0.000417	0.999583	
Q9KTX3	OTHER	0.000530	0.999470	
Q9KTX4	OTHER	0.000566	0.999434	
Q9KU37	OTHER	0.001974	0.998026	
Q9KU86	SP(Sec/SPI)	0.826517	0.173483	CS pos: 24-25. FQS-FG. Pr: 0.2647
Q9KUC0	OTHER	0.000504	0.999496	
Q9KUX9	OTHER	0.003819	0.996181	
Q9KUY6	OTHER	0.001253	0.998747	
Q9KV27	OTHER	0.003704	0.996296	
Q9KVC5	OTHER	0.000926	0.999074	
Q9KVD1	OTHER	0.015519	0.984481	
Q9KVE0	OTHER	0.001121	0.998879	
Q9KVP9	OTHER	0.000571	0.999429	
Q9X4Q8	OTHER	0.049718	0.950282	
Q9X6N4	OTHER	0.006550	0.993450	
O32445	OTHER	0.002074	0.997926	
O34241	OTHER	0.002028	0.997972	
O34242	OTHER	0.000437	0.999563	
O51804	OTHER	0.000379	0.999621	
O52042	SP(Sec/SPI)	0.619011	0.380989	CS pos: 31-32. VFA-MP. Pr: 0.2440
O66108	OTHER	0.001010	0.998990	
P0C6C2	OTHER	0.001027	0.998973	
P0C6C3	OTHER	0.000772	0.999228	
P0C6C6	OTHER	0.000700	0.999300	
P0C6C7	OTHER	0.000487	0.999513	
P0C6D2	OTHER	0.001580	0.998420	
P0C6D3	OTHER	0.000564	0.999436	
P0C6D6	OTHER	0.000472	0.999528	
P0C6D7	OTHER	0.001208	0.998792	
P0C6E0	SP(Sec/SPI)	0.506783	0.493217	CS pos: 28-29. VSA-AA. Pr: 0.2638
P0C6E1	OTHER	0.001871	0.998129	
P0C6P9	OTHER	0.001943	0.998057	
P0C6Q1	OTHER	0.001786	0.998214	
P0C6Q2	OTHER	0.000397	0.999603	
P0C6Q3	OTHER	0.001071	0.998929	
P0C6Q8	OTHER	0.001233	0.998767	
P0C6R1	OTHER	0.217432	0.782568	
P15795	OTHER	0.000772	0.999228	
P22359	OTHER	0.000324	0.999676	
P24153	SP(Sec/SPI)	0.823711	0.176289	CS pos: 24-25. LYA-AQ. Pr: 0.5459
P29485	OTHER	0.001104	0.998896	
P32557	SP(Sec/SPI)	0.999436	0.000564	CS pos: 19-20. AYA-AQ. Pr: 0.9143
P45774	SP(Sec/SPI)	0.789990	0.210010	CS pos: 23-24. ASA-VA. Pr: 0.3325
P45775	SP(Sec/SPI)	0.588399	0.411601	CS pos: 22-23. ATA-AI. Pr: 0.2124
P45776	OTHER	0.119933	0.880067	
P45777	OTHER	0.088532	0.911468	
P45780	OTHER	0.000534	0.999466	
P45781	SP(Sec/SPI)	0.895190	0.104810	CS pos: 28-29. TMA-ER. Pr: 0.3654
P45782	OTHER	0.001211	0.998789	
P50529	OTHER	0.001897	0.998103	
P52021	OTHER	0.001236	0.998764	
P57066	OTHER	0.001358	0.998642	
Q06951	OTHER	0.001256	0.998744	
Q08790	SP(Sec/SPI)	0.999236	0.000764	CS pos: 18-19. CLG-MP. Pr: 0.9631
Q56632	OTHER	0.006902	0.993098	
Q56648	OTHER	0.002630	0.997370	
Q56652	SP(Sec/SPI)	0.991489	0.008511	CS pos: 22-23. AFA-VD. Pr: 0.8453
Q84I33	OTHER	0.007919	0.992081	
Q9F854	OTHER	0.003984	0.996016	
Q9F855	OTHER	0.000511	0.999489	
Q9K2Y1	SP(Sec/SPI)	0.994683	0.005317	CS pos: 22-23. VWA-EN. Pr: 0.8346
Q9KKJ5	OTHER	0.011939	0.988061	
Q9KKM4	OTHER	0.000705	0.999295	
Q9KKP2	OTHER	0.001408	0.998592	
Q9KKQ7	OTHER	0.001943	0.998057	
Q9KKS5	OTHER	0.008586	0.991414	
Q9KKW6	OTHER	0.001679	0.998321	
Q9KKZ4	OTHER	0.003591	0.996409	
Q9KL04	OTHER	0.000718	0.999282	
Q9KL06	OTHER	0.001103	0.998897	
Q9KL24	OTHER	0.001136	0.998864	
Q9KL34	OTHER	0.001997	0.998003	
Q9KL40	OTHER	0.002782	0.997218	
Q9KL52	OTHER	0.000976	0.999024	
Q9KL61	OTHER	0.000673	0.999327	
Q9KL62	OTHER	0.001270	0.998730	
Q9KL83	SP(Sec/SPI)	0.985885	0.014115	CS pos: 19-20. AGC-GD. Pr: 0.3965
Q9KLC2	OTHER	0.001361	0.998639	
Q9KLC6	OTHER	0.001492	0.998508	
Q9KLE2	OTHER	0.006094	0.993906	
Q9KLE5	OTHER	0.000392	0.999608	
Q9KLG0	OTHER	0.004538	0.995462	
Q9KLJ3	OTHER	0.001970	0.998030	
Q9KLJ9	OTHER	0.000783	0.999217	
Q9KLK7	OTHER	0.001874	0.998126	
Q9KLL9	OTHER	0.001185	0.998815	
Q9KLP3	SP(Sec/SPI)	0.940343	0.059657	CS pos: 30-31. SYA-AV. Pr: 0.8006
Q9KLQ5	OTHER	0.000291	0.999709	
Q9KLW7	OTHER	0.002722	0.997278	
Q9KLW8	OTHER	0.000815	0.999185	
Q9KLX3	OTHER	0.000788	0.999212	
Q9KLX5	OTHER	0.000686	0.999314	
Q9KLX6	SP(Sec/SPI)	0.996594	0.003406	CS pos: 25-26. SQA-DT. Pr: 0.7391
Q9KLY5	OTHER	0.004763	0.995237	
Q9KM17	OTHER	0.132849	0.867151	
Q9KM23	OTHER	0.001475	0.998525	
Q9KM62	OTHER	0.001523	0.998477	
Q9KM66	OTHER	0.001217	0.998783	
Q9KM70	OTHER	0.001371	0.998629	
Q9KM71	OTHER	0.002345	0.997655	
Q9KM72	OTHER	0.209897	0.790103	
Q9KM76	OTHER	0.002940	0.997060	
Q9KMN7	OTHER	0.000969	0.999031	
Q9KMP4	OTHER	0.001287	0.998713	
Q9KMQ0	SP(Sec/SPI)	0.633911	0.366089	CS pos: 24-25. GFS-AL. Pr: 0.2105
Q9KMQ9	SP(Sec/SPI)	0.991550	0.008450	CS pos: 20-21. AFA-HS. Pr: 0.7708
Q9KMT5	OTHER	0.001108	0.998892	
Q9KMW1	OTHER	0.000717	0.999283	
Q9KMW4	OTHER	0.009034	0.990966	
Q9KMW9	OTHER	0.000481	0.999519	
Q9KMX5	OTHER	0.000907	0.999093	
Q9KMY6	OTHER	0.000950	0.999050	
Q9KN34	OTHER	0.043118	0.956882	
Q9KN37	OTHER	0.005561	0.994439	
Q9KN38	OTHER	0.041910	0.958090	
Q9KN41	SP(Sec/SPI)	0.995973	0.004027	CS pos: 24-25. AIA-SE. Pr: 0.8455
Q9KN61	OTHER	0.000739	0.999261	
Q9KN92	OTHER	0.000724	0.999276	
Q9KNA6	OTHER	0.003207	0.996793	
Q9KNA8	OTHER	0.002972	0.997028	
Q9KNB2	OTHER	0.001611	0.998389	
Q9KNC3	OTHER	0.001602	0.998398	
Q9KNC5	OTHER	0.007989	0.992011	
Q9KND8	SP(Sec/SPI)	0.996048	0.003952	CS pos: 21-22. AMA-AP. Pr: 0.9024
Q9KNE5	OTHER	0.001832	0.998168	
Q9KNE8	OTHER	0.001517	0.998483	
Q9KNF3	OTHER	0.001145	0.998855	
Q9KNH0	OTHER	0.040544	0.959456	
Q9KNH3	OTHER	0.000500	0.999500	
Q9KNH5	OTHER	0.001797	0.998203	
Q9KNH6	OTHER	0.001760	0.998240	
Q9KNI0	OTHER	0.001344	0.998656	
Q9KNI4	OTHER	0.001799	0.998201	
Q9KNI7	OTHER	0.002050	0.997950	
Q9KNJ2	OTHER	0.000470	0.999530	
Q9KNJ4	OTHER	0.001133	0.998867	
Q9KNJ7	OTHER	0.001626	0.998374	
Q9KNK0	OTHER	0.001431	0.998569	
Q9KNL0	OTHER	0.346096	0.653904	
Q9KNL4	OTHER	0.006254	0.993746	
Q9KNM3	OTHER	0.000288	0.999712	
Q9KNM4	OTHER	0.006612	0.993388	
Q9KNM9	OTHER	0.060568	0.939432	
Q9KNN6	OTHER	0.000603	0.999397	
Q9KNP2	OTHER	0.003820	0.996180	
Q9KNQ3	OTHER	0.003476	0.996524	
Q9KNQ6	OTHER	0.000644	0.999356	
Q9KNR1	OTHER	0.002081	0.997919	
Q9KNR7	OTHER	0.000421	0.999579	
Q9KNS5	OTHER	0.008835	0.991165	
Q9KNS6	OTHER	0.001383	0.998617	
Q9KNT0	OTHER	0.000914	0.999086	
Q9KNT4	OTHER	0.002104	0.997896	
Q9KNT5	OTHER	0.002185	0.997815	
Q9KNT6	OTHER	0.010606	0.989394	
Q9KNT7	OTHER	0.003165	0.996835	
Q9KNT8	OTHER	0.001043	0.998957	
Q9KNV1	OTHER	0.000602	0.999398	
Q9KNV2	OTHER	0.006414	0.993586	
Q9KNV5	OTHER	0.001630	0.998370	
Q9KNV6	OTHER	0.003039	0.996961	
Q9KNV7	OTHER	0.002311	0.997689	
Q9KNW0	OTHER	0.000970	0.999030	
Q9KNW2	OTHER	0.001971	0.998029	
Q9KNW4	OTHER	0.002062	0.997938	
Q9KNX3	OTHER	0.000806	0.999194	
Q9KNX6	OTHER	0.003844	0.996156	
Q9KNX8	OTHER	0.002698	0.997302	
Q9KNY5	OTHER	0.001489	0.998511	
Q9KP01	OTHER	0.000479	0.999521	
Q9KP08	OTHER	0.000830	0.999170	
Q9KP19	OTHER	0.000487	0.999513	
Q9KP20	OTHER	0.001027	0.998973	
Q9KP21	OTHER	0.000803	0.999197	
Q9KP34	OTHER	0.001587	0.998413	
Q9KP35	OTHER	0.000349	0.999651	
Q9KP37	OTHER	0.356006	0.643994	
Q9KP42	OTHER	0.001456	0.998544	
Q9KP51	SP(Sec/SPI)	0.526057	0.473943	CS pos: 24-25. LLG-QE. Pr: 0.2714
Q9KP62	OTHER	0.004789	0.995211	
Q9KP66	OTHER	0.000668	0.999332	
Q9KP71	OTHER	0.000617	0.999383	
Q9KP73	OTHER	0.000609	0.999391	
Q9KP81	OTHER	0.000902	0.999098	
Q9KP82	OTHER	0.000781	0.999219	
Q9KP83	OTHER	0.000947	0.999053	
Q9KP93	OTHER	0.001401	0.998599	
Q9KPA4	OTHER	0.005279	0.994721	
Q9KPB0	OTHER	0.001154	0.998846	
Q9KPB2	OTHER	0.000809	0.999191	
Q9KPB3	OTHER	0.000532	0.999468	
Q9KPB5	OTHER	0.001031	0.998969	
Q9KPC1	OTHER	0.000419	0.999581	
Q9KPC5	OTHER	0.001009	0.998991	
Q9KPD4	OTHER	0.002357	0.997643	
Q9KPD5	OTHER	0.000230	0.999770	
Q9KPD9	OTHER	0.000421	0.999579	
Q9KPE0	OTHER	0.000670	0.999330	
Q9KPE3	OTHER	0.028554	0.971446	
Q9KPE9	OTHER	0.000463	0.999537	
Q9KPF6	OTHER	0.014065	0.985935	
Q9KPF9	OTHER	0.001045	0.998955	
Q9KPG1	OTHER	0.012092	0.987908	
Q9KPG3	OTHER	0.011748	0.988252	
Q9KPG4	OTHER	0.001003	0.998997	
Q9KPG5	OTHER	0.030965	0.969035	
Q9KPG6	OTHER	0.008112	0.991888	
Q9KPG7	OTHER	0.008361	0.991639	
Q9KPG8	OTHER	0.002389	0.997611	
Q9KPH1	OTHER	0.001519	0.998481	
Q9KPH4	OTHER	0.000608	0.999392	
Q9KPH6	OTHER	0.005156	0.994844	
Q9KPH7	OTHER	0.003512	0.996488	
Q9KPI6	SP(Sec/SPI)	0.944190	0.055810	CS pos: 20-21. LLA-KP. Pr: 0.8184
Q9KPI8	OTHER	0.003898	0.996102	
Q9KPK1	OTHER	0.001544	0.998456	
Q9KPK7	OTHER	0.006228	0.993772	
Q9KPL7	OTHER	0.001288	0.998712	
Q9KPL8	OTHER	0.000699	0.999301	
Q9KPL9	OTHER	0.400787	0.599213	
Q9KPM0	OTHER	0.002017	0.997983	
Q9KPM2	OTHER	0.000372	0.999628	
Q9KPN7	OTHER	0.011448	0.988552	
Q9KPQ0	OTHER	0.002217	0.997783	
Q9KPQ9	OTHER	0.139387	0.860613	
Q9KPR9	OTHER	0.000945	0.999055	
Q9KPS2	OTHER	0.000826	0.999174	
Q9KPS5	OTHER	0.001194	0.998806	
Q9KPT8	OTHER	0.006973	0.993027	
